week_start,sku,region,forecast_cases,target_inventory_cases,opening_inventory_cases,required_production_cases
2025-06-30,BB1000,Central,269.54071,655.0833333333334,524.0666666666667,400.55737666666664
2025-06-30,BB1000,East,302.87977,592.75,474.20000000000005,421.42976999999996
2025-06-30,BB1000,North,327.18033833333334,691.3333333333334,553.0666666666667,465.447005
2025-06-30,BB1000,South,339.18045416666666,900.3333333333334,720.2666666666668,519.2471208333333
2025-06-30,BB1000,West,371.7809833333333,892.5,714.0,550.2809833333333
2025-06-30,BB250,Central,150.16489416666667,371.875,297.5,224.53989416666673
2025-06-30,BB250,East,164.45878083333332,346.5833333333333,277.26666666666665,233.77544749999998
2025-06-30,BB250,North,171.71707916666665,376.3333333333333,301.06666666666666,246.98374583333333
2025-06-30,BB250,South,197.6239675,506.7916666666667,405.4333333333334,298.9823008333333
2025-06-30,BB250,West,211.24605833333334,505.125,404.1,312.2710583333334
2025-06-30,BB500,Central,223.31390416666667,526.5833333333334,421.2666666666667,328.63057083333337
2025-06-30,BB500,East,251.03673333333333,505.875,404.70000000000005,352.2117333333333
2025-06-30,BB500,North,256.82505,560.25,448.20000000000005,368.8750499999999
2025-06-30,BB500,South,267.1554154166667,718.875,575.1,410.93041541666673
2025-06-30,BB500,West,276.8766066666667,696.4583333333334,557.1666666666667,416.16827333333333
2025-06-30,EN250,Central,96.40878166666667,228.625,182.9,142.13378166666664
2025-06-30,EN250,East,103.28433958333333,206.91666666666666,165.53333333333333,144.66767291666665
2025-06-30,EN250,North,101.95322208333333,232.625,186.10000000000002,148.47822208333332
2025-06-30,EN250,South,123.64808958333333,319.375,255.5,187.52308958333333
2025-06-30,EN250,West,120.32268916666666,308.1666666666667,246.53333333333336,181.95602249999996
2025-06-30,EN500,Central,71.40559083333333,163.375,130.70000000000002,104.08059083333333
2025-06-30,EN500,East,71.15827958333334,145.875,116.7,100.33327958333335
2025-06-30,EN500,North,82.80859541666666,169.875,135.9,116.78359541666666
2025-06-30,EN500,South,84.41231125,224.04166666666666,179.23333333333335,129.2206445833333
2025-06-30,EN500,West,92.68410041666667,218.20833333333334,174.5666666666667,136.32576708333332
2025-06-30,LM250,Central,132.01700166666666,288.4166666666667,230.73333333333335,189.700335
2025-06-30,LM250,East,130.06262583333333,261.875,209.5,182.4376258333333
2025-06-30,LM250,North,126.91600666666666,296.375,237.10000000000002,186.19100666666662
2025-06-30,LM250,South,148.5020725,409.75,327.8,230.45207249999993
2025-06-30,LM250,West,150.70637291666668,396.875,317.5,230.08137291666662
2025-06-30,LM500,Central,169.49667333333335,404.125,323.3,250.3216733333333
2025-06-30,LM500,East,191.86244833333333,372.5833333333333,298.06666666666666,266.379115
2025-06-30,LM500,North,207.69914875,436.7083333333333,349.3666666666667,295.04081541666665
2025-06-30,LM500,South,219.5887275,570.125,456.1,333.6137275
2025-06-30,LM500,West,222.94114333333334,561.2083333333334,448.9666666666667,335.18281
2025-06-30,OR1000,Central,204.49646333333334,487.0833333333333,389.6666666666667,301.91312999999997
2025-06-30,OR1000,East,211.30614,449.0,359.20000000000005,301.10614
2025-06-30,OR1000,North,228.25086583333334,508.6666666666667,406.9333333333334,329.9841991666666
2025-06-30,OR1000,South,280.90435083333335,704.8333333333334,563.8666666666667,421.8710175
2025-06-30,OR1000,West,303.1623925,679.1666666666666,543.3333333333334,438.99572583333327
2025-06-30,OR500,Central,146.61324208333332,341.7916666666667,273.43333333333334,214.97157541666667
2025-06-30,OR500,East,151.0389125,316.75,253.4,214.38891250000003
2025-06-30,OR500,North,163.10590374999998,359.5,287.6,235.0059037499999
2025-06-30,OR500,South,181.76563875,481.125,384.90000000000003,277.99063874999996
2025-06-30,OR500,West,199.43582583333333,480.3333333333333,384.26666666666665,295.5024925
2025-06-30,WT1000,Central,457.97372083333335,1165.6666666666667,932.5333333333334,691.1070541666667
2025-06-30,WT1000,East,488.93634249999997,1041.3333333333333,833.0666666666666,697.2030091666666
2025-06-30,WT1000,North,504.84177166666666,1143.6666666666667,914.9333333333334,733.5751049999999
2025-06-30,WT1000,South,544.6668416666666,1491.0833333333333,1192.8666666666666,842.8835083333333
2025-06-30,WT1000,West,536.4088216666667,1460.25,1168.2,828.4588216666666
2025-07-07,BB1000,Central,322.455165,655.0833333333334,524.0666666666667,453.4718316666666
2025-07-07,BB1000,East,338.7660266666667,592.75,474.20000000000005,457.31602666666663
2025-07-07,BB1000,North,385.399675,691.3333333333334,553.0666666666667,523.6663416666667
